conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1861341163065876794;Tue Nov 26 09:28:09 +0000 2024;1;FOR SALE. Yang butuh suara: #Komdigi;1861341163065876794;;;in;Bali;0;0;1;https://x.com/GusDark4/status/1861341163065876794;1197023131669417986;GusDark4
1860989730407792763;Tue Nov 26 09:27:08 +0000 2024;1;@GR94Thomas Kedisiplinan SDM komdigi dalam menjaga kerahasian data dlm meng-update kode security data dan pengoperasian hardware kurang untuk data vital pemerintah seperti KTP BPJS kesehatan BPJS ketenagakerjaan NPWP pribadi wajib pajak dll;1861340906961694902;;GR94Thomas;in;;0;0;0;https://x.com/Didi_margo/status/1861340906961694902;1603600431825186816;Didi_margo
1861339109509472659;Tue Nov 26 09:20:00 +0000 2024;0;Polisi Benarkan Alwin Jabarti Kiemas Hingga Mantan Komisaris BUMN Jadi Tersangka Judol Komdigi #beritanasional #selasa #polri #alwinjabartikiemas #bumn #judionline #komdigi https://t.co/3vERhTcTV3;1861339109509472659;https://pbs.twimg.com/ext_tw_video_thumb/1861334736725303296/pu/img/LWriivmsiv6Cvzea.jpg;;in;;0;1;0;https://x.com/NasionalBerita_/status/1861339109509472659;1769451991124832257;NasionalBerita_
1861028467329884286;Tue Nov 26 09:10:32 +0000 2024;0;@kumparan gpp tolak aja semua tohk kalau gak ada Kartu Internet yang di izinkan oleh Ditjen Dukcapil RI jadi sampah elekteonik itu semua ponsel jenis apapun termasuk Menara Menara Tower komdigi internet utk desa makanya KPU Nusantara tetap percaya ama Kardus non Durian;1861336726251413915;;kumparan;in;;0;0;0;https://x.com/Partikellirs/status/1861336726251413915;1594732397492195330;Partikellirs
1861334311766815147;Tue Nov 26 09:00:56 +0000 2024;0;Komdigi Tunjuk Pejabat Polisi Jadi Dirjen Baru Ini Tugasnya #uzoneID #lifestyle #viral https://t.co/MZOSJhY3z8;1861334311766815147;;;in;Indonesia;0;0;0;https://x.com/uzoneindonesia/status/1861334311766815147;1675707294;uzoneindonesia
1861277223480893659;Tue Nov 26 08:51:17 +0000 2024;0;@ariestarico2 @seruanhl @ahmad_bellamy @Mata_Netizen62 @DS_yantie @Anak__Ogi @BiLLRaY2019 @Cintada16 @NgkongRoses @HumorJonTampan @kenhans03 judol komdigi kiemas #fedinuril https://t.co/oWrakhlnWd;1861331882862092523;https://pbs.twimg.com/media/GdTHeodaoAEefMY.jpg;ariestarico2;in;;0;0;0;https://x.com/WahyuSe71082548/status/1861331882862092523;1564456997902159872;WahyuSe71082548
1861318570971639812;Tue Nov 26 07:58:23 +0000 2024;0;Wira menyebut salah satu yang akan didalami kepolisian saat ini adalah terkait masuknya AK (Adhi Kismanto) sebagai staf ahli di Kementerian Komdigi. https://t.co/fjhN3pyKdB;1861318570971639812;;;in;Jakarta - Indonesia;0;0;0;https://x.com/mediaindonesia/status/1861318570971639812;68930552;mediaindonesia
1861318127902183853;Tue Nov 26 07:56:37 +0000 2024;0;Menteri Koordinator bidang Politik dan Keamanan (Menko Polkam) Budi Gunawan mengajak seluruh masyarakat menggunakan hak pilihnya dalam Pilkada serentak 2024 pada 27 November mendatang. #pilkadaserentak #pilkada2024 #pilkadadamai2024 #pilkadadamai #KPU #FMB9 #Komdigi https://t.co/sKNyATHQ0I;1861318127902183853;https://pbs.twimg.com/ext_tw_video_thumb/1861317954627084289/pu/img/ZHOJ2FrKNCPChcNb.jpg;;in;Jl. Medan Merdeka Barat 9;0;0;0;https://x.com/FMB9ID_/status/1861318127902183853;902385054336167937;FMB9ID_
1861213644786409689;Tue Nov 26 07:51:08 +0000 2024;0;@VIVAcoid Itu si alwin masuk komdigi ikut test CPNS ga min ?;1861316746785001570;;VIVAcoid;in;;0;0;0;https://x.com/FiersaNugraha/status/1861316746785001570;1388584586603421698;FiersaNugraha
1861213644786409689;Tue Nov 26 07:50:19 +0000 2024;0;@Dakenwolve @VIVAcoid Gausah panik bos gua yakin si alwin masuk komdigi juga berkat orang dalam. Naif sekali wkwk;1861316539322101837;;Dakenwolve;in;;0;0;0;https://x.com/FiersaNugraha/status/1861316539322101837;1388584586603421698;FiersaNugraha
